date_recuperation;etat_mesure;source;type_mesure;pce;nature_mesure;emplacement;horodatage_debut;horodatage_fin;valeur;unite;vecteur;observation;architecture_compteur;energie;architecture_gaz;joint_horodatage;joint_horodatage2;index;consommation;puissance;puissance_souscrite;consommation_pcs;consommation_pci;facture;saison;mois;numero_jour_semaine;heure;condition_weekend;weekend;maj
2021-04-27;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-04-27T05:20:00+00:00;;1705500;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-04-27T05:20:00+00:00;POSTE HT-2021-04-27T05:20:00+00:00;1705630;130.0;780.0;1850;130.0;130.0;13.26;Hiver;2021-04;2;7;False;0.0;17
2021-04-27;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-04-27T05:30:00+00:00;;1705630;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-04-27T05:30:00+00:00;POSTE HT-2021-04-27T05:30:00+00:00;1705770;140.0;840.0;1850;140.0;140.0;14.28;Hiver;2021-04;2;7;False;0.0;17
2021-04-27;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-04-27T06:10:00+00:00;;1706240;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-04-27T06:10:00+00:00;POSTE HT-2021-04-27T06:10:00+00:00;1706400;160.0;960.0;1850;160.0;160.0;16.32;Hiver;2021-04;2;8;False;0.0;17
2021-04-27;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-04-27T06:20:00+00:00;;1706400;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-04-27T06:20:00+00:00;POSTE HT-2021-04-27T06:20:00+00:00;1706400;0.0;0.0;1850;0.0;0.0;0.0;Hiver;2021-04;2;8;False;0.0;17
2021-04-27;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-04-27T06:40:00+00:00;;1706750;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-04-27T06:40:00+00:00;POSTE HT-2021-04-27T06:40:00+00:00;1706940;190.0;1140.0;1850;190.0;190.0;19.38;Hiver;2021-04;2;8;False;0.0;17
2021-04-27;OK;AKAJOULE;POINT 60 MIN;11622218;CONSOMMATION;CARTOL;2021-04-27T06:00:00+00:00;;89441;m3;CONSOMMATION GAZ 1;GENERAL PEINTURE;Compteur général;Gaz;DEPART PEINTURE;2021-04-27T06:00:00+00:00;GENERAL PEINTURE-2021-04-27T06:00:00+00:00;89563;122.0;0.0;1000;2884.812;2598.9297297297294;111.06526199999999;Hiver;2021-04;2;8;False;0.0;17
2021-04-27;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-04-27T07:00:00+00:00;;1707160;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-04-27T07:00:00+00:00;POSTE HT-2021-04-27T07:00:00+00:00;1707370;210.0;1260.0;1850;210.0;210.0;21.419999999999998;Hiver;2021-04;2;9;False;0.0;17
2021-04-27;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-04-27T07:30:00+00:00;;1707370;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-04-27T07:30:00+00:00;POSTE HT-2021-04-27T07:30:00+00:00;1707810;440.0;2640.0;1850;440.0;440.0;44.879999999999995;Hiver;2021-04;2;9;False;0.0;17
2021-04-27;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-04-27T08:00:00+00:00;;1708300;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-04-27T08:00:00+00:00;POSTE HT-2021-04-27T08:00:00+00:00;1708550;250.0;1500.0;1850;250.0;250.0;25.5;Hiver;2021-04;2;10;False;0.0;17
2021-04-27;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-04-27T08:30:00+00:00;;1709050;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-04-27T08:30:00+00:00;POSTE HT-2021-04-27T08:30:00+00:00;1709300;250.0;1500.0;1850;250.0;250.0;25.5;Hiver;2021-04;2;10;False;0.0;17
