date_recuperation;etat_mesure;source;type_mesure;pce;nature_mesure;emplacement;horodatage_debut;horodatage_fin;valeur;unite;vecteur;observation;architecture_compteur;energie;architecture_gaz;joint_horodatage;joint_horodatage2;index;consommation;puissance;puissance_souscrite;consommation_pcs;consommation_pci;facture;saison;mois;numero_jour_semaine;heure;condition_weekend;weekend;maj
2021-05-17;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-17T12:30:00+00:00;;1904960;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-17T12:30:00+00:00;POSTE HT-2021-05-17T12:30:00+00:00;;;;1850;;;;Hiver;2021-05;1;14;False;0.0;14
2021-05-17;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-17T12:40:00+00:00;;1905110;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-17T12:40:00+00:00;POSTE HT-2021-05-17T12:40:00+00:00;;;;1850;;;;Hiver;2021-05;1;14;False;0.0;14
2021-05-17;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-17T15:20:00+00:00;;1907030;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-17T15:20:00+00:00;POSTE HT-2021-05-17T15:20:00+00:00;1907100;70.0;420.0;1850;70.0;70.0;7.14;Hiver;2021-05;1;17;False;0.0;14
2021-05-17;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-17T15:30:00+00:00;;1907100;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-17T15:30:00+00:00;POSTE HT-2021-05-17T15:30:00+00:00;1907160;60.0;360.0;1850;60.0;60.0;6.119999999999999;Hiver;2021-05;1;17;False;0.0;14
2021-05-17;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-17T15:50:00+00:00;;1907210;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-17T15:50:00+00:00;POSTE HT-2021-05-17T15:50:00+00:00;;;;1850;;;;Hiver;2021-05;1;17;False;0.0;14
2021-05-17;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-17T18:00:00+00:00;;1907860;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-17T18:00:00+00:00;POSTE HT-2021-05-17T18:00:00+00:00;1907910;50.0;300.0;1850;50.0;50.0;5.1;Hiver;2021-05;1;20;False;0.0;14
2021-05-17;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-17T18:20:00+00:00;;1907960;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-17T18:20:00+00:00;POSTE HT-2021-05-17T18:20:00+00:00;1908020;60.0;360.0;1850;60.0;60.0;6.119999999999999;Hiver;2021-05;1;20;False;0.0;14
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622218;CONSOMMATION;CARTOL;2021-05-17T18:00:00+00:00;;100989;m3;CONSOMMATION GAZ 1;GENERAL PEINTURE;Compteur général;Gaz;DEPART PEINTURE;2021-05-17T18:00:00+00:00;GENERAL PEINTURE-2021-05-17T18:00:00+00:00;;;0.0;1000;;;;Hiver;2021-05;1;20;False;0.0;14
2021-05-17;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-17T19:10:00+00:00;;1908210;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-17T19:10:00+00:00;POSTE HT-2021-05-17T19:10:00+00:00;;;;1850;;;;Hiver;2021-05;1;21;False;0.0;14
2021-05-17;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-17T19:30:00+00:00;;1908260;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-17T19:30:00+00:00;POSTE HT-2021-05-17T19:30:00+00:00;;;;1850;;;;Hiver;2021-05;1;21;False;0.0;14
2021-05-17;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-17T19:50:00+00:00;;1908340;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-17T19:50:00+00:00;POSTE HT-2021-05-17T19:50:00+00:00;;;;1850;;;;Hiver;2021-05;1;21;False;0.0;14
2021-05-17;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-17T20:00:00+00:00;;1908380;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-17T20:00:00+00:00;POSTE HT-2021-05-17T20:00:00+00:00;1908420;40.0;240.0;1850;40.0;40.0;4.08;Hiver;2021-05;1;22;False;0.0;14
2021-05-17;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-17T20:20:00+00:00;;1908460;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-17T20:20:00+00:00;POSTE HT-2021-05-17T20:20:00+00:00;1908500;40.0;240.0;1850;40.0;40.0;4.08;Hiver;2021-05;1;22;False;0.0;14
2021-05-17;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-17T20:50:00+00:00;;1908580;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-17T20:50:00+00:00;POSTE HT-2021-05-17T20:50:00+00:00;;;;1850;;;;Hiver;2021-05;1;22;False;0.0;14
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622178;CONSOMMATION;CARTOL;2021-05-17T21:00:00+00:00;;121751;m3;CONSOMMATION GAZ 1;GENERAL CATAPHORESE;Compteur général;Gaz;DEPART CATAPHORESE;2021-05-17T21:00:00+00:00;GENERAL CATAPHORESE-2021-05-17T21:00:00+00:00;;;0.0;1000;;;;Hiver;2021-05;1;23;False;0.0;14
