date_recuperation;etat_mesure;source;type_mesure;pce;nature_mesure;emplacement;horodatage_debut;horodatage_fin;valeur;unite;vecteur;observation;architecture_compteur;energie;joint_horodatage;joint_horodatage2;index;consommation;puissance;puissance_souscrite;facture;saison;mois;numero_jour_semaine;heure;condition_weekend;weekend;maj
2021-05-10T00:00:00+00:00;OK;AKAJOULE;POINT 60 MIN;22222348;CONSOMMATION;CARTOL;2021-05-10T07:40:00+00:00;;25416;kWh;ENERGIE ACTIVE;ARMOIRE COMPRESSEURS;Sous-compteur;Électricité;2021-05-10T07:40:00+00:00;ARMOIRE COMPRESSEURS-2021-05-10T07:40:00+00:00;25426;10.0;60.0;1850;1.02;Hiver;2021-05;1;9;False;0.0;26
2021-05-10T00:00:00+00:00;OK;AKAJOULE;POINT 60 MIN;22222348;CONSOMMATION;CARTOL;2021-05-10T07:50:00+00:00;;25426;kWh;ENERGIE ACTIVE;ARMOIRE COMPRESSEURS;Sous-compteur;Électricité;2021-05-10T07:50:00+00:00;ARMOIRE COMPRESSEURS-2021-05-10T07:50:00+00:00;25436;10.0;60.0;1850;1.02;Hiver;2021-05;1;9;False;0.0;26
2021-05-10T00:00:00+00:00;OK;AKAJOULE;POINT 10 MIN;22222352;CONSOMMATION;CARTOL;2021-05-10T08:00:00+00:00;;29302;kWh;ENERGIE ACTIVE;ARMOIRE CATAPHORESE;Sous-compteur;Électricité;2021-05-10T08:00:00+00:00;ARMOIRE CATAPHORESE-2021-05-10T08:00:00+00:00;29316;14.0;84.0;1850;1.428;Hiver;2021-05;1;10;False;0.0;26
2021-05-10T00:00:00+00:00;OK;AKAJOULE;POINT 10 MIN;22222352;CONSOMMATION;CARTOL;2021-05-10T08:40:00+00:00;;29360;kWh;ENERGIE ACTIVE;ARMOIRE CATAPHORESE;Sous-compteur;Électricité;2021-05-10T08:40:00+00:00;ARMOIRE CATAPHORESE-2021-05-10T08:40:00+00:00;29374;14.0;84.0;1850;1.428;Hiver;2021-05;1;10;False;0.0;26
2021-05-10T00:00:00+00:00;OK;AKAJOULE;POINT 60 MIN;22222348;CONSOMMATION;CARTOL;2021-05-10T08:20:00+00:00;;25453;kWh;ENERGIE ACTIVE;ARMOIRE COMPRESSEURS;Sous-compteur;Électricité;2021-05-10T08:20:00+00:00;ARMOIRE COMPRESSEURS-2021-05-10T08:20:00+00:00;25461;8.0;48.0;1850;0.816;Hiver;2021-05;1;10;False;0.0;26
2021-05-10T00:00:00+00:00;OK;AKAJOULE;POINT 60 MIN;22222348;CONSOMMATION;CARTOL;2021-05-10T08:40:00+00:00;;25461;kWh;ENERGIE ACTIVE;ARMOIRE COMPRESSEURS;Sous-compteur;Électricité;2021-05-10T08:40:00+00:00;ARMOIRE COMPRESSEURS-2021-05-10T08:40:00+00:00;25461;0.0;0.0;1850;0.0;Hiver;2021-05;1;10;False;0.0;26
2021-05-10T00:00:00+00:00;OK;AKAJOULE;POINT 10 MIN;22222352;CONSOMMATION;CARTOL;2021-05-10T09:00:00+00:00;;29389;kWh;ENERGIE ACTIVE;ARMOIRE CATAPHORESE;Sous-compteur;Électricité;2021-05-10T09:00:00+00:00;ARMOIRE CATAPHORESE-2021-05-10T09:00:00+00:00;29403;14.0;84.0;1850;1.428;Hiver;2021-05;1;11;False;0.0;26
2021-05-10T00:00:00+00:00;OK;AKAJOULE;POINT 10 MIN;22222352;CONSOMMATION;CARTOL;2021-05-10T09:50:00+00:00;;29461;kWh;ENERGIE ACTIVE;ARMOIRE CATAPHORESE;Sous-compteur;Électricité;2021-05-10T09:50:00+00:00;ARMOIRE CATAPHORESE-2021-05-10T09:50:00+00:00;29475;14.0;84.0;1850;1.428;Hiver;2021-05;1;11;False;0.0;26
2021-05-10T00:00:00+00:00;OK;AKAJOULE;POINT 60 MIN;22222348;CONSOMMATION;CARTOL;2021-05-10T09:00:00+00:00;;25491;kWh;ENERGIE ACTIVE;ARMOIRE COMPRESSEURS;Sous-compteur;Électricité;2021-05-10T09:00:00+00:00;ARMOIRE COMPRESSEURS-2021-05-10T09:00:00+00:00;25502;11.0;66.0;1850;1.1219999999999999;Hiver;2021-05;1;11;False;0.0;26
2021-05-10T00:00:00+00:00;OK;AKAJOULE;POINT 60 MIN;22222348;CONSOMMATION;CARTOL;2021-05-10T09:30:00+00:00;;25523;kWh;ENERGIE ACTIVE;ARMOIRE COMPRESSEURS;Sous-compteur;Électricité;2021-05-10T09:30:00+00:00;ARMOIRE COMPRESSEURS-2021-05-10T09:30:00+00:00;25533;10.0;60.0;1850;1.02;Hiver;2021-05;1;11;False;0.0;26
2021-05-10T00:00:00+00:00;OK;AKAJOULE;POINT 60 MIN;22222348;CONSOMMATION;CARTOL;2021-05-10T09:40:00+00:00;;25533;kWh;ENERGIE ACTIVE;ARMOIRE COMPRESSEURS;Sous-compteur;Électricité;2021-05-10T09:40:00+00:00;ARMOIRE COMPRESSEURS-2021-05-10T09:40:00+00:00;25543;10.0;60.0;1850;1.02;Hiver;2021-05;1;11;False;0.0;26
2021-05-10T00:00:00+00:00;OK;AKAJOULE;POINT 10 MIN;22222352;CONSOMMATION;CARTOL;2021-05-10T10:20:00+00:00;;29504;kWh;ENERGIE ACTIVE;ARMOIRE CATAPHORESE;Sous-compteur;Électricité;2021-05-10T10:20:00+00:00;ARMOIRE CATAPHORESE-2021-05-10T10:20:00+00:00;29519;15.0;90.0;1850;1.5299999999999998;Hiver;2021-05;1;12;False;0.0;26
2021-05-10T00:00:00+00:00;OK;AKAJOULE;POINT 10 MIN;22222352;CONSOMMATION;CARTOL;2021-05-10T10:30:00+00:00;;29519;kWh;ENERGIE ACTIVE;ARMOIRE CATAPHORESE;Sous-compteur;Électricité;2021-05-10T10:30:00+00:00;ARMOIRE CATAPHORESE-2021-05-10T10:30:00+00:00;29533;14.0;84.0;1850;1.428;Hiver;2021-05;1;12;False;0.0;26
2021-05-10T00:00:00+00:00;OK;AKAJOULE;POINT 60 MIN;22222348;CONSOMMATION;CARTOL;2021-05-10T10:10:00+00:00;;25563;kWh;ENERGIE ACTIVE;ARMOIRE COMPRESSEURS;Sous-compteur;Électricité;2021-05-10T10:10:00+00:00;ARMOIRE COMPRESSEURS-2021-05-10T10:10:00+00:00;25572;9.0;54.0;1850;0.9179999999999999;Hiver;2021-05;1;12;False;0.0;26
2021-05-10T00:00:00+00:00;OK;AKAJOULE;POINT 60 MIN;22222348;CONSOMMATION;CARTOL;2021-05-10T10:20:00+00:00;;25572;kWh;ENERGIE ACTIVE;ARMOIRE COMPRESSEURS;Sous-compteur;Électricité;2021-05-10T10:20:00+00:00;ARMOIRE COMPRESSEURS-2021-05-10T10:20:00+00:00;25579;7.0;42.0;1850;0.714;Hiver;2021-05;1;12;False;0.0;26
2021-05-10T00:00:00+00:00;OK;AKAJOULE;POINT 10 MIN;22222352;CONSOMMATION;CARTOL;2021-05-10T11:00:00+00:00;;29562;kWh;ENERGIE ACTIVE;ARMOIRE CATAPHORESE;Sous-compteur;Électricité;2021-05-10T11:00:00+00:00;ARMOIRE CATAPHORESE-2021-05-10T11:00:00+00:00;29577;15.0;90.0;1850;1.5299999999999998;Hiver;2021-05;1;13;False;0.0;26
2021-05-10T00:00:00+00:00;OK;AKAJOULE;POINT 60 MIN;22222348;CONSOMMATION;CARTOL;2021-05-10T11:10:00+00:00;;25608;kWh;ENERGIE ACTIVE;ARMOIRE COMPRESSEURS;Sous-compteur;Électricité;2021-05-10T11:10:00+00:00;ARMOIRE COMPRESSEURS-2021-05-10T11:10:00+00:00;25617;9.0;54.0;1850;0.9179999999999999;Hiver;2021-05;1;13;False;0.0;26
2021-05-10T00:00:00+00:00;OK;AKAJOULE;POINT 60 MIN;22222348;CONSOMMATION;CARTOL;2021-05-10T11:20:00+00:00;;25617;kWh;ENERGIE ACTIVE;ARMOIRE COMPRESSEURS;Sous-compteur;Électricité;2021-05-10T11:20:00+00:00;ARMOIRE COMPRESSEURS-2021-05-10T11:20:00+00:00;25627;10.0;60.0;1850;1.02;Hiver;2021-05;1;13;False;0.0;26
2021-05-10T00:00:00+00:00;OK;AKAJOULE;POINT 10 MIN;22222352;CONSOMMATION;CARTOL;2021-05-10T12:20:00+00:00;;29678;kWh;ENERGIE ACTIVE;ARMOIRE CATAPHORESE;Sous-compteur;Électricité;2021-05-10T12:20:00+00:00;ARMOIRE CATAPHORESE-2021-05-10T12:20:00+00:00;29693;15.0;90.0;1850;1.5299999999999998;Hiver;2021-05;1;14;False;0.0;26
2021-05-10T00:00:00+00:00;OK;AKAJOULE;POINT 10 MIN;22222352;CONSOMMATION;CARTOL;2021-05-10T12:30:00+00:00;;29693;kWh;ENERGIE ACTIVE;ARMOIRE CATAPHORESE;Sous-compteur;Électricité;2021-05-10T12:30:00+00:00;ARMOIRE CATAPHORESE-2021-05-10T12:30:00+00:00;29707;14.0;84.0;1850;1.428;Hiver;2021-05;1;14;False;0.0;26
2021-05-10T00:00:00+00:00;OK;AKAJOULE;POINT 60 MIN;22222348;CONSOMMATION;CARTOL;2021-05-10T12:10:00+00:00;;25670;kWh;ENERGIE ACTIVE;ARMOIRE COMPRESSEURS;Sous-compteur;Électricité;2021-05-10T12:10:00+00:00;ARMOIRE COMPRESSEURS-2021-05-10T12:10:00+00:00;25680;10.0;60.0;1850;1.02;Hiver;2021-05;1;14;False;0.0;26
2021-05-10T00:00:00+00:00;OK;AKAJOULE;POINT 60 MIN;22222348;CONSOMMATION;CARTOL;2021-05-10T12:50:00+00:00;;25709;kWh;ENERGIE ACTIVE;ARMOIRE COMPRESSEURS;Sous-compteur;Électricité;2021-05-10T12:50:00+00:00;ARMOIRE COMPRESSEURS-2021-05-10T12:50:00+00:00;25720;11.0;66.0;1850;1.1219999999999999;Hiver;2021-05;1;14;False;0.0;26
