date_recuperation;etat_mesure;source;type_mesure;pce;nature_mesure;emplacement;horodatage_debut;horodatage_fin;valeur;unite;vecteur;observation;architecture_compteur;energie;architecture_gaz;joint_horodatage;joint_horodatage2;index;consommation;puissance_souscrite;consommation_pcs;consommation_pci;facture;saison;mois;numero_jour_semaine;heure;condition_weekend;weekend;maj
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622224;CONSOMMATION;CARTOL;2021-05-17T12:00:00+00:00;;2192;m3;CONSOMMATION GAZ 1;AEROTHERMES;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-17T12:00:00+00:00;AEROTHERMES-2021-05-17T12:00:00+00:00;2192;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;1;12;False;0.0;23
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622230;CONSOMMATION;CARTOL;2021-05-17T12:00:00+00:00;;480;m3;CONSOMMATION GAZ 1;ETUVE 80°C RALLONGE;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-17T12:00:00+00:00;ETUVE 80°C RALLONGE-2021-05-17T12:00:00+00:00;480;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;1;12;False;0.0;23
2021-05-17;OK;AKAJOULE;POINT 10 MIN;12346609;AUTRES;CARTOL;2021-05-17T13:00:00+00:00;;15;°C;TEMPERATURE;SOUS LE PORCHE;Sous-compteur;Température;TEMPERATURE;2021-05-17T13:00:00+00:00;SOUS LE PORCHE-2021-05-17T13:00:00+00:00;16;1.0;1000;23.646;21.302702702702703;0.910371;Hiver;2021-05;1;13;False;0.0;23
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622215;CONSOMMATION;CARTOL;2021-05-17T13:00:00+00:00;;17801;m3;CONSOMMATION GAZ 1;ETUVE 2;Sous-compteur;Gaz;DEPART CATAPHORESE;2021-05-17T13:00:00+00:00;ETUVE 2-2021-05-17T13:00:00+00:00;17801;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;1;13;False;0.0;23
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622219;CONSOMMATION;CARTOL;2021-05-17T13:00:00+00:00;;0;m3;CONSOMMATION GAZ 1;GDFA100;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-17T13:00:00+00:00;GDFA100-2021-05-17T13:00:00+00:00;0;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;1;13;False;0.0;23
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622224;CONSOMMATION;CARTOL;2021-05-17T13:00:00+00:00;;2192;m3;CONSOMMATION GAZ 1;AEROTHERMES;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-17T13:00:00+00:00;AEROTHERMES-2021-05-17T13:00:00+00:00;2192;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;1;13;False;0.0;23
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622228;CONSOMMATION;CARTOL;2021-05-17T13:00:00+00:00;;2989;m3;CONSOMMATION GAZ 1;RETOUCHES;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-17T13:00:00+00:00;RETOUCHES-2021-05-17T13:00:00+00:00;2989;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;1;13;False;0.0;23
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622230;CONSOMMATION;CARTOL;2021-05-17T13:00:00+00:00;;480;m3;CONSOMMATION GAZ 1;ETUVE 80°C RALLONGE;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-17T13:00:00+00:00;ETUVE 80°C RALLONGE-2021-05-17T13:00:00+00:00;480;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;1;13;False;0.0;23
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622230;CONSOMMATION;CARTOL;2021-05-17T13:00:00+00:00;;1228;m3;CONSOMMATION GAZ 2;ETUVE 180°C RALLONGE;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-17T13:00:00+00:00;ETUVE 180°C RALLONGE-2021-05-17T13:00:00+00:00;1232;4.0;1000;94.584;85.21081081081081;3.641484;Hiver;2021-05;1;13;False;0.0;23
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622237;CONSOMMATION;CARTOL;2021-05-17T13:00:00+00:00;;8667;m3;CONSOMMATION GAZ 2;ETUVE 180°C RALLONGE PRINCIPALE;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-17T13:00:00+00:00;ETUVE 180°C RALLONGE PRINCIPALE-2021-05-17T13:00:00+00:00;8686;19.0;1000;449.274;404.75135135135133;17.297049;Hiver;2021-05;1;13;False;0.0;23
