date_recuperation;etat_mesure;source;type_mesure;pce;nature_mesure;emplacement;horodatage_debut;horodatage_fin;valeur;unite;vecteur;observation;architecture_compteur;energie;architecture_gaz;joint_horodatage;joint_horodatage2;index;consommation;puissance_souscrite;consommation_pcs;consommation_pci;facture;saison;mois;numero_jour_semaine;heure;condition_weekend;weekend;maj
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622223;CONSOMMATION;CARTOL;2021-05-17T09:00:00+00:00;;18628;m3;CONSOMMATION GAZ 1;GDFA400;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-17T09:00:00+00:00;GDFA400-2021-05-17T09:00:00+00:00;;;1000;;;;Hiver;2021-05;1;9;False;0.0;20
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622230;CONSOMMATION;CARTOL;2021-05-17T09:00:00+00:00;;1216;m3;CONSOMMATION GAZ 2;ETUVE 180°C RALLONGE;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-17T09:00:00+00:00;ETUVE 180°C RALLONGE-2021-05-17T09:00:00+00:00;;;1000;;;;Hiver;2021-05;1;9;False;0.0;20
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622237;CONSOMMATION;CARTOL;2021-05-17T09:00:00+00:00;;17330;m3;CONSOMMATION GAZ 1;ETUVE 80°C PRINCIPALE;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-17T09:00:00+00:00;ETUVE 80°C PRINCIPALE-2021-05-17T09:00:00+00:00;;;1000;;;;Hiver;2021-05;1;9;False;0.0;20
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622206;CONSOMMATION;CARTOL;2021-05-17T12:00:00+00:00;;17907;m3;CONSOMMATION GAZ 1;ETUVE 1;Sous-compteur;Gaz;DEPART CATAPHORESE;2021-05-17T12:00:00+00:00;ETUVE 1-2021-05-17T12:00:00+00:00;;;1000;;;;Hiver;2021-05;1;12;False;0.0;20
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622223;CONSOMMATION;CARTOL;2021-05-17T12:00:00+00:00;;18663;m3;CONSOMMATION GAZ 1;GDFA400;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-17T12:00:00+00:00;GDFA400-2021-05-17T12:00:00+00:00;;;1000;;;;Hiver;2021-05;1;12;False;0.0;20
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622228;CONSOMMATION;CARTOL;2021-05-17T12:00:00+00:00;;2989;m3;CONSOMMATION GAZ 1;RETOUCHES;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-17T12:00:00+00:00;RETOUCHES-2021-05-17T12:00:00+00:00;;;1000;;;;Hiver;2021-05;1;12;False;0.0;20
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622230;CONSOMMATION;CARTOL;2021-05-17T12:00:00+00:00;;1225;m3;CONSOMMATION GAZ 2;ETUVE 180°C RALLONGE;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-17T12:00:00+00:00;ETUVE 180°C RALLONGE-2021-05-17T12:00:00+00:00;;;1000;;;;Hiver;2021-05;1;12;False;0.0;20
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622223;CONSOMMATION;CARTOL;2021-05-17T15:00:00+00:00;;18690;m3;CONSOMMATION GAZ 1;GDFA400;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-17T15:00:00+00:00;GDFA400-2021-05-17T15:00:00+00:00;;;1000;;;;Hiver;2021-05;1;15;False;0.0;20
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622230;CONSOMMATION;CARTOL;2021-05-17T15:00:00+00:00;;480;m3;CONSOMMATION GAZ 1;ETUVE 80°C RALLONGE;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-17T15:00:00+00:00;ETUVE 80°C RALLONGE-2021-05-17T15:00:00+00:00;;;1000;;;;Hiver;2021-05;1;15;False;0.0;20
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622230;CONSOMMATION;CARTOL;2021-05-17T15:00:00+00:00;;1235;m3;CONSOMMATION GAZ 2;ETUVE 180°C RALLONGE;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-17T15:00:00+00:00;ETUVE 180°C RALLONGE-2021-05-17T15:00:00+00:00;;;1000;;;;Hiver;2021-05;1;15;False;0.0;20
